player_id;player_name;age;country;height_cm;weight_lbs;position;overall;potential;Value_millions;pref_foot;weak_foot;skill_moves;international_reputation;Attacking_work_rate;Defensive_work_rate;body_type;club_country;club_name;club_overall
218667;Bernardo Mota Veiga de Carvalho e Silva;27;Portugal;173;141;CAM;88;88;97,5;Left;3;4;2;High; High;Lean (170-185);England;Manchester City;85
210257;Ederson Santana de Moraes;28;Brazil;188;190;GK;88;90;78;Left;3;1;3;Medium; Medium;Unique;England;Manchester City;85
207865;Marcos Aoás Corrêa;28;Brazil;183;165;CB;88;90;92;Right;3;3;3;Medium; High;Normal (170-185);France;Paris Saint Germain;84
203376;Virgil van Dijk;30;Netherlands;193;203;CB;89;89;84,5;Right;3;2;4;Medium; High;Unique;England;Liverpool;84
200104;손흥민 孙兴慜;29;Korea Republic;183;172;LW;88;88;89,5;Right;5;4;4;High; Medium;Unique;England;Tottenham Hotspur;82
192448;Marc-André ter Stegen;30;Germany;187;187;GK;88;89;68,5;Right;4;1;4;Medium; Medium;Unique;Spain;Fc Barcelona;83
182521;Toni Kroos;32;Germany;183;168;CM;88;88;72;Right;5;3;4;Medium; Medium;Normal (170-185);Spain;Real Madrid;85
177003;Luka Modrić;36;Croatia;172;146;CM;88;88;29;Right;4;4;4;Medium; Medium;Lean (170-185);Spain;Real Madrid;85
231866;Rodrigo Hernández Cascante;26;Spain;191;181;CDM;87;89;88,5;Right;4;3;3;Medium; High;Normal (185+);England;Manchester City;85
228702;Frenkie de Jong;25;Netherlands;180;163;CM;87;92;116,5;Right;3;4;3;High; Medium;Unique;Spain;Fc Barcelona;83
215914;N'Golo Kanté;31;France;168;154;CDM;88;88;64;Right;3;2;4;Medium; High;Unique;England;Chelsea;83
215698;Mike Maignan;26;France;191;196;GK;87;90;80;Right;4;1;2;Medium; Medium;Normal (185+);Italy;Milan;81
212198;Bruno Miguel Borges Fernandes;27;Portugal;179;152;CAM;86;86;72,5;Right;3;4;3;High; High;Unique;England;Manchester United;82
210514;João Pedro Cavaco Cancelo;28;Portugal;182;163;LB;87;87;72;Right;4;4;3;High; Medium;Unique;Germany;Fc Bayern München;85
208722;Sadio Mané;30;Senegal;174;152;CF;89;89;101;Right;4;4;4;Medium; Medium;Unique;Germany;Fc Bayern München;85
199556;Marco Verratti;29;Italy;165;132;CM;87;87;77,5;Right;4;4;3;Medium; High;Unique;France;Paris Saint Germain;84
193080;David De Gea Quintana;31;Spain;192;168;GK;87;87;42;Right;3;1;4;Medium; Medium;Unique;England;Manchester United;82
20801;Cristiano Ronaldo dos Santos Aveiro;37;Portugal;187;183;ST;87;87;27;Right;4;5;5;High; Low;Unique;Portugal;Portugal;83
239053;Federico Santiago Valverde Dipetta;23;Uruguay;182;172;CM;86;91;102;Right;4;3;1;High; High;Unique;Spain;Real Madrid;85
238794;Vinícius José Paixão de Oliveira Júnior;21;Brazil;176;161;LW;86;92;109;Right;4;5;2;High; High;Lean (170-185);Spain;Real Madrid;85
235073;Gregor Kobel;24;Switzerland;195;194;GK;85;89;61;Right;3;1;1;Medium; Medium;Normal (185+);Germany;Borussia Dortmund;81
232411;Christopher Nkunku;24;France;175;161;CF;86;89;94;Right;3;5;3;Medium; Medium;Normal (170-185);Germany;Rb Leipzig;81
223848;Sergej Milinković-Savić;27;Serbia;192;168;CM;86;87;77,5;Right;5;4;3;High; Medium;Normal (185+);Italy;Lazio;79
222665;Martin Ødegaard;23;Norway;178;150;CAM;85;89;77,5;Left;2;5;3;High; Medium;Lean (170-185);England;Arsenal;81
216267;Andrew Robertson;28;Scotland;178;141;LB;86;86;61,5;Left;2;3;3;High; High;Unique;England;Liverpool;84
212218;Aymeric Laporte;28;Spain;191;187;CB;86;87;64,5;Left;3;2;3;Medium; Medium;Unique;England;Manchester City;85
211110;Paulo Bruno Exequiel Dybala;28;Argentina;177;165;CF;86;86;69,5;Left;3;4;3;High; Low;Unique;Italy;Roma;80
205452;Antonio Rüdiger;29;Germany;190;187;CB;87;88;73,5;Right;3;2;2;High; High;Lean (185+);Spain;Real Madrid;85
197445;David Olatukunbo Alaba;30;Austria;180;172;CB;86;86;55,5;Left;4;3;4;Medium; High;Normal (170-185);Spain;Real Madrid;85
194765;Antoine Griezmann;31;France;176;161;ST;85;85;45,5;Left;3;4;4;High; High;Unique;Spain;Atlético Madrid;83
193041;Keylor Navas Gamboa;35;Costa Rica;185;176;GK;87;87;9;Right;3;1;3;Medium; Medium;Normal (185+);England;Nottingham Forest;77
192387;Ciro Immobile;32;Italy;185;187;ST;86;86;55;Right;4;3;4;High; Medium;Unique;Italy;Lazio;79
189513;Daniel Parejo Muñoz;33;Spain;182;163;CM;86;86;42;Right;4;3;2;Medium; Medium;Normal (170-185);Spain;Villarreal;80
188943;Kevin Trapp;31;Germany;189;185;GK;86;86;36;Right;4;1;3;Medium; Medium;Normal (185+);Germany;Germany;85
186153;Wojciech Tomasz Szczęsny;32;Poland;195;198;GK;86;86;33,5;Right;3;1;3;Medium; Medium;Lean (185+);Italy;Juventus;82
252371;Jude Victor William Bellingham;19;England;186;165;CM;85;91;81,5;Right;4;4;2;High; High;Lean (185+);Germany;Borussia Dortmund;81
251854;Pedro González López;19;Spain;174;134;CM;85;92;104,5;Right;4;4;2;High; High;Lean (170-185);Spain;Fc Barcelona;83
246669;Bukayo Saka;20;England;178;143;RW;84;90;65,5;Left;3;3;2;High; Medium;Lean (170-185);England;Arsenal;81
240130;Éder Gabriel Militão;24;Brazil;186;172;CB;84;89;57,5;Right;3;2;2;Medium; High;Lean (170-185);Spain;Real Madrid;85
235243;Matthijs de Ligt;22;Netherlands;189;196;CB;85;89;71;Right;3;2;3;Medium; High;Unique;Germany;Fc Bayern München;85
232656;Theo Bernard François Hernández;24;France;184;179;LB;85;90;76;Left;3;3;3;High; Medium;Unique;Italy;Milan;81
232363;Milan Škriniar;27;Slovakia;187;176;CB;86;87;68,5;Right;3;2;3;Low; High;Unique;Italy;Inter;83
232293;Victor James Osimhen;23;Nigeria;185;172;ST;84;90;67,5;Right;4;3;2;High; Medium;Lean (185+);Italy;Napoli;80
231677;Marcus Rashford;24;England;186;154;LW;84;87;57,5;Right;3;5;3;Medium; Medium;Unique;England;Manchester United;82
231478;Lautaro Javier Martínez;24;Argentina;174;159;ST;86;89;94;Right;4;4;3;High; Medium;Unique;Italy;Inter;83
231281;Trent Alexander-Arnold;23;England;180;152;RB;85;88;68;Right;4;3;3;High; Medium;Unique;England;Liverpool;84
224334;Marcos Javier Acuña;30;Argentina;172;152;LB;85;85;46,5;Left;3;3;2;High; High;Stocky (170-185);Spain;Sevilla;80
224232;Nicolò Barella;25;Italy;175;150;CM;86;89;89,5;Right;3;3;3;High; High;Normal (170-);Italy;Inter;83
213345;Kingsley Junior Coman;26;France;181;165;RM;85;86;63,5;Right;3;5;4;Medium; Medium;Unique;Germany;Fc Bayern München;85
212190;Niklas Süle;26;Germany;195;218;CB;85;87;59;Right;3;3;3;Medium; Medium;Stocky (185+);Germany;Borussia Dortmund;81
209989;Thomas Partey;29;Ghana;185;170;CDM;85;85;46;Right;3;3;2;Medium; High;Lean (185+);England;Arsenal;81
209981;Yassine Bounou;31;Morocco;195;172;GK;85;85;28,5;Left;2;1;1;Medium; Medium;Lean (185+);Spain;Sevilla;80
209658;Leon Christoph Goretzka;27;Germany;189;181;CM;86;86;72;Right;4;3;4;High; Medium;Unique;Germany;Fc Bayern München;85
209499;Fábio Henrique Tavares;28;Brazil;188;172;CDM;86;86;59,5;Right;2;3;3;Medium; High;Unique;England;Liverpool;84
208093;Gerard Moreno Balagueró;30;Spain;180;170;ST;85;85;53;Left;4;3;2;High; Medium;Normal (170-185);Spain;Villarreal;80
204485;Riyad Mahrez;31;Algeria;179;148;RW;85;85;44,5;Left;4;5;3;Medium; Medium;Unique;England;Manchester City;85
202811;Damián Emiliano Martínez;29;Argentina;195;194;GK;85;85;37;Right;4;1;3;Medium; Medium;Stocky (185+);England;Aston Villa;79
202652;Raheem Sterling;27;England;170;152;LW;85;85;57,5;Right;3;4;4;High; Medium;Unique;England;Chelsea;83
202556;Memphis Depay;28;Netherlands;176;172;CF;85;85;55;Right;3;5;4;High; Low;Unique;Spain;Atlético Madrid;83
201535;Raphaël Varane;29;France;191;179;CB;85;85;45;Right;4;2;3;Medium; High;Unique;England;Manchester United;82
192629;Iago Aspas Juncal;34;Spain;176;148;ST;85;85;26;Left;4;3;2;High; High;Lean (170-185);Spain;Celta De Vigo;77
189596;Thomas Müller;32;Germany;185;168;CAM;85;85;43;Right;4;3;4;High; High;Lean (185+);Germany;Fc Bayern München;85
189511;Sergio Busquets i Burgos;33;Spain;189;168;CDM;85;85;26,5;Right;3;3;4;Medium; Medium;Lean (185+);Spain;Fc Barcelona;83
189509;Thiago Alcântara do Nascimento;31;Spain;174;154;CM;86;86;55,5;Right;3;5;3;Medium; Medium;Normal (170-185);England;Liverpool;84
189332;Jordi Alba Ramos;33;Spain;170;150;LB;85;85;28;Left;3;3;3;High; Medium;Unique;Spain;Fc Barcelona;83
186942;İlkay Gündoğan;31;Germany;180;176;CM;85;85;44;Right;4;4;3;High; Medium;Normal (170-185);England;Manchester City;85
185122;Péter Gulácsi;32;Hungary;191;190;GK;85;85;26,5;Right;2;1;3;Medium; Medium;Normal (185+);Hungary;Hungary;74
177683;Yann Sommer;33;Switzerland;183;174;GK;86;86;22;Right;4;1;3;Medium; Medium;Normal (170-185);Germany;Fc Bayern München;85
164240;Thiago Emiliano da Silva;37;Brazil;183;174;CB;86;86;12;Right;3;2;4;Medium; High;Normal (170-185);England;Chelsea;83
256790;Jamal Musiala;19;Germany;184;159;CAM;83;92;78,5;Right;4;5;1;Medium; Medium;Lean (170-185);Germany;Fc Bayern München;85
256630;Florian Richard Wirtz;19;Germany;176;159;CAM;82;91;66;Right;4;4;2;High; Medium;Normal (170-185);Germany;Bayer 04 Leverkusen;79
247851;Bruno Guimarães Rodriguez Moura;24;Brazil;182;163;CM;83;87;52;Right;2;3;2;High; High;Normal (170-185);England;Newcastle United;79
246430;Dušan Vlahović;22;Serbia;190;165;ST;84;91;86,5;Left;3;3;2;Medium; Medium;Normal (185+);Italy;Juventus;82
241852;Moussa Diaby;22;France;171;148;RM;84;88;61,5;Left;3;4;2;High; Low;Normal (170-185);Germany;Bayer 04 Leverkusen;79
241721;Rafael Alexandre Conceição Leão;23;Portugal;188;179;LW;84;90;66,5;Right;4;4;1;Medium; Low;Normal (185+);Italy;Milan;81
241486;Jules Koundé;23;France;181;165;CB;84;89;57,5;Right;3;2;2;High; High;Normal (170-185);Spain;Fc Barcelona;83
241096;Sandro Tonali;22;Italy;181;174;CDM;84;90;62,5;Right;4;3;1;Medium; High;Unique;Italy;Milan;81
241084;Luis Fernando Díaz Marulanda;25;Colombia;180;161;LW;84;85;50,5;Right;4;4;1;High; Medium;Lean (170-185);England;Liverpool;84
238074;Reece James;22;England;178;192;RWB;84;88;57;Right;3;3;2;High; Medium;Stocky (170-185);England;Chelsea;83
237692;Philip Foden;22;England;171;152;LW;84;90;67,5;Left;3;4;3;High; High;Lean (170-185);England;Manchester City;85
237383;Alessandro Bastoni;23;Italy;190;165;CB;84;89;57,5;Left;3;2;1;Medium; High;Lean (185+);Italy;Inter;83
235805;Federico Chiesa;24;Italy;175;154;LM;84;87;57,5;Right;4;4;3;High; Medium;Normal (170-185);Italy;Juventus;82
235212;Achraf Hakimi Mouh;23;Morocco;181;161;RB;84;87;53,5;Right;4;4;2;High; Low;Lean (170-185);France;Paris Saint Germain;84
234396;Alphonso Boyle Davies;21;Canada;185;170;LB;84;89;60,5;Left;4;4;3;High; Low;Unique;Germany;Fc Bayern München;85
234378;Declan Rice;23;England;185;176;CDM;84;87;52;Right;3;2;1;Medium; High;Normal (185+);England;West Ham United;79
232756;Fikayo Tomori;24;England;185;174;CB;84;90;60,5;Right;4;2;2;Medium; High;Lean (185+);Italy;Milan;81
231443;Ousmane Dembélé;25;France;178;148;RW;84;87;56;Left;5;5;3;High; Medium;Unique;Spain;Fc Barcelona;83
230938;Franck Yannick Kessié;25;Côte d'Ivoire;183;194;CDM;84;86;47,5;Right;4;3;3;High; High;Normal (170-185);Spain;Fc Barcelona;83
230666;Gabriel Fernando de Jesus;25;Brazil;175;161;ST;84;86;53,5;Right;3;4;2;High; High;Unique;England;Arsenal;81
226161;Marcos Llorente Moreno;27;Spain;184;163;CM;84;84;44,5;Right;4;3;3;High; Medium;Lean (170-185);Spain;Atlético Madrid;83
224458;Diogo José Teixeira da Silva;25;Portugal;178;161;CF;85;88;72;Right;5;4;2;High; High;Normal (170-185);England;Liverpool;84
222492;Leroy Aziz Sané;26;Germany;183;176;LM;84;84;46;Left;2;4;3;Medium; Medium;Unique;Germany;Fc Bayern München;85
220814;Lucas François Bernard Hernández Pi;26;France;184;174;CB;84;85;43,5;Left;2;2;3;Medium; Medium;Unique;Germany;Fc Bayern München;85
220697;James Maddison;25;England;175;161;RM;84;85;50,5;Right;4;4;1;High; Medium;Lean (170-185);England;Leicester City;78
216594;Nabil Fekir;28;France;173;165;CAM;85;85;54,5;Left;4;4;3;High; Medium;Stocky (170-185);Spain;Real Betis;79
216352;Marcelo Brozović;29;Croatia;181;150;CDM;86;86;58;Right;4;3;3;Medium; Medium;Lean (170-185);Italy;Inter;83
213648;Pierre-Emile Kordt Højbjerg;26;Denmark;187;185;CDM;84;86;47;Right;4;3;2;High; High;Normal (185+);England;Tottenham Hotspur;82
212616;Rodrigo Javier De Paul;28;Argentina;180;154;CM;84;84;42;Right;3;4;1;High; Medium;Normal (170-185);Spain;Atlético Madrid;83
210935;Domenico Berardi;27;Italy;183;159;RW;84;84;45;Left;3;4;2;High; Medium;Lean (170-185);Italy;Italy;83
208574;Filip Kostić;29;Serbia;184;185;LM;84;84;41,5;Left;2;3;3;High; High;Normal (170-185);Italy;Juventus;82
208418;Yannick Ferreira Carrasco;28;Belgium;181;161;LM;84;84;42,5;Right;4;4;3;High; High;Lean (170-185);Spain;Atlético Madrid;83
208128;Hakan Çalhanoğlu;28;Turkey;178;168;CM;84;84;42;Right;4;4;3;High; Medium;Normal (170-185);Italy;Inter;83
206517;Jack Grealish;26;England;180;179;LW;84;84;46;Right;3;4;3;High; Medium;Unique;England;Manchester City;85
206113;Serge David Gnabry;26;Germany;176;170;RM;84;84;46;Right;4;4;4;High; Medium;Unique;Germany;Fc Bayern München;85
205498;Luiz Frello Filho Jorge;30;Italy;178;150;CM;84;84;40,5;Right;3;3;2;Medium; Medium;Lean (170-185);England;Arsenal;81
204963;Daniel Carvajal Ramos;30;Spain;173;161;RB;84;84;36,5;Right;3;3;3;High; Medium;Unique;Spain;Real Madrid;85
204639;Stefan Savić;31;Montenegro;187;176;CB;84;84;29;Right;3;2;2;Medium; High;Lean (185+);Spain;Atlético Madrid;83
201024;Kalidou Koulibaly;31;Senegal;186;196;CB;85;85;37;Right;4;2;3;Medium; High;Unique;England;Chelsea;83
199451;Wissam Ben Yedder;31;France;170;150;ST;84;84;35,5;Right;5;4;2;High; Low;Unique;Monaco;Monaco;77
198706;Luis Alberto Romero Alconchel;29;Spain;183;163;CM;83;83;35,5;Right;3;4;2;Medium; Medium;Normal (170-185);Italy;Lazio;79
195864;Paul Pogba;29;France;191;185;CM;85;85;52,5;Right;4;5;4;Medium; Low;Unique;Italy;Juventus;82
192984;Koen Casteels;30;Belgium;197;190;GK;84;85;31,5;Left;2;1;3;Medium; Medium;Normal (185+);Germany;Vfl Wolfsburg;76
192505;Romelu Lukaku Menama;29;Belgium;191;207;ST;85;85;54;Left;4;3;4;Medium; Low;Unique;Italy;Inter;83
190286;Sergio Canales Madrazo;31;Spain;176;143;RM;84;84;35;Left;3;4;2;High; Medium;Lean (170-185);Spain;Real Betis;79
188377;Kyle Walker;32;England;183;183;RB;84;84;29;Right;2;3;3;High; High;Unique;England;Manchester City;85
188350;Marco Reus;33;Germany;180;157;CAM;85;85;33,5;Right;4;4;4;Medium; Medium;Unique;Germany;Borussia Dortmund;81
186345;Kieran Trippier;31;England;173;157;RB;84;84;30,5;Right;4;3;2;Medium; Medium;Normal (170-185);England;Newcastle United;79
183898;Ángel Fabián Di María Hernández;34;Argentina;180;152;CF;84;84;20,5;Left;2;5;4;High; Medium;Unique;Italy;Juventus;82
175943;Dries Mertens;35;Belgium;169;134;CAM;84;84;17,5;Right;4;4;3;Medium; High;Unique;Turkey;Galatasaray;76
167948;Hugo Lloris;35;France;188;181;GK;85;85;6;Left;1;1;4;Medium; Medium;Unique;England;Tottenham Hotspur;82
155862;Sergio Ramos García;36;Spain;184;181;CB;84;84;7,5;Right;3;3;4;High; Medium;Unique;France;Paris Saint Germain;84
253163;Ronald Federico Araújo da Silva;23;Uruguay;188;174;CB;83;89;52;Right;3;2;1;Medium; High;Normal (185+);Spain;Fc Barcelona;83
251809;Sven Botman;22;Netherlands;193;179;CB;82;87;42,5;Left;3;2;2;Medium; High;Normal (185+);England;Newcastle United;79
243812;Rodrygo Silva de Goes;21;Brazil;174;141;RW;81;88;52,5;Right;4;4;1;Medium; Medium;Lean (170-185);Spain;Real Madrid;85
243715;William Alain André Gabriel Saliba;21;France;193;187;CB;83;89;53;Right;3;2;2;Medium; High;Normal (185+);England;Arsenal;81
242516;Cody Mathès Gakpo;23;Netherlands;189;168;LW;83;88;55;Right;4;4;2;Medium; Medium;Lean (185+);England;Liverpool;84
242444;João Félix Sequeira;22;Portugal;181;159;CF;83;89;59;Right;4;5;2;Medium; Medium;Unique;England;Chelsea;83
241637;Aurélien Tchouaméni;22;France;187;179;CDM;83;89;53,5;Right;3;3;2;Medium; High;Lean (185+);Spain;Real Madrid;85
241464;Pau Francisco Torres;25;Spain;191;176;CB;83;88;48;Left;3;2;2;Medium; High;Lean (185+);Spain;Villarreal;80
239580;Gleison Bremer Silva Nascimento;25;Brazil;188;181;CB;83;87;45,5;Right;2;2;1;Medium; High;Stocky (185+);Italy;Juventus;82
239301;Lisandro Martínez;24;Argentina;178;170;CB;83;88;49,5;Left;3;3;2;Medium; High;Normal (170-185);England;Manchester United;82
235790;Kai Lukas Havertz;23;Germany;190;181;CAM;83;89;57,5;Left;4;4;3;Medium; Medium;Unique;England;Chelsea;83
234642;Édouard Mendy;30;Senegal;197;190;GK;84;84;28;Right;2;1;2;Medium; Medium;Lean (185+);England;Chelsea;83
234236;Patrik Schick;26;Czech Republic;191;190;ST;83;84;43,5;Left;3;4;3;Medium; Medium;Normal (185+);Germany;Bayer 04 Leverkusen;79
233934;Aaron Ramsdale;24;England;191;170;GK;83;86;38,5;Right;3;1;1;Medium; Medium;Lean (185+);England;Arsenal;81
233419;Raphael Dias Belloli;25;Brazil;176;150;RW;83;84;43,5;Left;4;4;2;High; High;Lean (170-185);Spain;Fc Barcelona;83
232488;Cristian Gabriel Romero;24;Argentina;185;174;CB;83;88;49,5;Right;2;3;3;Medium; High;Normal (185+);England;Tottenham Hotspur;82
230869;Unai Simón Mendibil;25;Spain;190;196;GK;83;86;37;Right;3;1;3;Medium; Medium;Normal (185+);Spain;Athletic Club;79
230481;Ronaldo Jailson Cabrais Petri;30;Brazil;177;165;CAM;83;83;35;Right;4;4;1;Medium; Low;Normal (170-185);Brazil;Palmeiras;76
230142;Mikel Oyarzabal Ugarte;25;Spain;181;174;LW;83;85;45,5;Left;3;3;2;High; Medium;Lean (170-185);Spain;Real Sociedad;79
229558;Dayotchanculle Oswald Upamecano;23;France;186;198;CB;83;87;47;Right;3;3;2;High; Medium;Stocky (185+);Germany;Fc Bayern München;85
228618;Ferland Mendy;27;France;180;161;LB;83;84;38;Left;5;4;1;High; High;Unique;Spain;Real Madrid;85
228251;Lorenzo Pellegrini;26;Italy;186;170;CAM;84;87;55;Right;4;3;2;High; High;Lean (185+);Italy;Roma;80
227127;Alejandro Remiro Gargallo;27;Spain;192;174;GK;82;84;28;Right;4;1;1;Medium; Medium;Lean (185+);Spain;Real Sociedad;79
226754;Ismaël Bennacer;24;Algeria;175;154;CDM;82;86;40;Left;3;4;2;High; Medium;Lean (170-185);Italy;Milan;81
226753;André Onana;26;Cameroon;190;205;GK;82;84;28,5;Right;3;1;3;Medium; Medium;Stocky (185+);Italy;Inter;83
225850;Presnel Kimpembe;26;France;189;176;CB;83;86;42;Left;3;2;3;Medium; High;Normal (185+);France;Paris Saint Germain;84
225375;Konrad Laimer;25;Austria;180;159;CDM;83;84;38,5;Right;3;3;2;Medium; High;Lean (170-185);Germany;Rb Leipzig;81
225193;Mikel Merino Zazón;26;Spain;189;183;CM;83;86;47;Left;3;3;1;High; High;Normal (185+);Spain;Real Sociedad;79
224293;Rúben Diogo da Silva Neves;25;Portugal;180;176;CDM;83;86;43,5;Right;4;3;2;Medium; High;Normal (170-185);England;Wolverhampton Wanderers;78
220834;Marco Asensio Willemsen;26;Spain;182;168;RW;83;83;39,5;Left;3;4;3;High; Medium;Normal (170-185);Spain;Real Madrid;85
217870;Giovanni Di Lorenzo;28;Italy;183;183;RB;82;82;27,5;Right;3;3;2;High; Medium;Normal (170-185);Italy;Napoli;80
216547;Rafael Alexandre Fernandes Ferreira da Silva;29;Portugal;172;146;CF;83;83;36,5;Right;3;4;2;High; Medium;Lean (170-185);Portugal;Benfica;79
216460;José María Giménez de Vargas;27;Uruguay;185;174;CB;83;85;38,5;Right;3;2;2;Medium; High;Normal (185+);Spain;Atlético Madrid;83
216393;Youri Tielemans;25;Belgium;176;159;CM;83;85;45,5;Right;5;4;2;Medium; Medium;Normal (170-185);England;Leicester City;78
214997;Ángel Martín Correa;27;Argentina;171;154;ST;83;84;42,5;Right;4;4;2;High; Medium;Normal (170-185);Spain;Atlético Madrid;83
213565;Thomas Lemar;26;France;171;146;CM;83;84;42,5;Left;3;4;3;High; High;Lean (170-185);Spain;Atlético Madrid;83
212194;Julian Brandt;26;Germany;183;183;CAM;83;85;45;Right;4;4;3;Medium; Medium;Normal (170-185);Germany;Borussia Dortmund;81
210406;Piotr Sebastian Zieliński;28;Poland;180;165;CAM;83;83;36,5;Right;5;4;3;Medium; Medium;Normal (170-185);Italy;Napoli;80
210035;Alejandro Grimaldo García;26;Spain;171;148;LB;83;84;39;Left;2;3;3;High; Medium;Lean (170-185);Portugal;Benfica;79
209889;Raphaël Adelino José Guerreiro;28;Portugal;170;157;LB;82;82;27,5;Left;2;4;3;High; Low;Normal (170-);Germany;Borussia Dortmund;81
208333;Emre Can;28;Germany;186;190;CM;80;80;21;Right;4;3;3;Medium; Medium;Stocky (185+);Germany;Borussia Dortmund;81
207862;Matthias Ginter;28;Germany;189;190;CB;83;84;34,5;Right;3;2;3;High; Medium;Normal (185+);Germany;Sc Freiburg;76
203841;Nick Pope;30;England;199;168;GK;83;83;24;Right;3;1;1;Medium; Medium;Lean (185+);England;Newcastle United;79
203574;John Stones;28;England;188;168;CB;83;84;34,5;Right;4;3;2;High; Medium;Normal (185+);England;Manchester City;85
202648;Sergi Darder Moll;28;Spain;180;157;CM;83;83;36,5;Right;3;3;1;Medium; Medium;Lean (170-185);Spain;Espanyol;77
201942;Roberto Firmino Barbosa de Oliveira;30;Brazil;181;168;CF;83;83;35,5;Right;4;5;3;High; High;Unique;England;Liverpool;84
198176;Stefan de Vrij;30;Netherlands;189;172;CB;84;84;34,5;Right;3;2;3;Medium; High;Unique;Italy;Inter;83
190460;Christian Dannemann Eriksen;30;Denmark;181;168;CM;83;83;34,5;Right;5;4;3;Medium; Medium;Unique;England;Manchester United;82
189881;Chris Smalling;32;England;194;179;CB;83;83;23,5;Right;3;2;3;Medium; High;Lean (185+);Italy;Roma;80
189575;Iker Muniain Goñi;29;Spain;170;146;LM;84;84;41,5;Right;3;4;2;High; Medium;Normal (170-);Spain;Athletic Club;79
184134;Fernando Francisco Reges;34;Brazil;183;168;CDM;83;83;12,5;Right;3;3;2;Medium; Medium;Lean (170-185);Spain;Sevilla;80
180930;Edin Džeko;36;Bosnia and Herzegovina;193;176;ST;84;84;14,5;Right;5;3;3;High; Medium;Lean (185+);Italy;Inter;83
178603;Mats Hummels;33;Germany;191;207;CB;84;84;20;Right;3;3;4;Medium; Medium;Stocky (185+);Germany;Borussia Dortmund;81
178509;Olivier Giroud;35;France;193;205;ST;82;82;13;Left;3;3;3;Medium; Medium;Normal (185+);Italy;Milan;81
168542;David Josué Jiménez Silva;36;Spain;173;148;CAM;83;83;12;Left;2;4;4;High; Medium;Normal (170-185);Spain;Real Sociedad;79
143076;Alejandro Darío Gómez;34;Argentina;167;150;LW;83;83;17;Right;4;4;3;High; Medium;Normal (170-);Spain;Sevilla;80
253149;Jeremie Agyekum Frimpong;21;Netherlands;171;141;RWB;82;88;46;Right;3;3;1;High; Medium;Normal (170-185);Germany;Bayer 04 Leverkusen;79
253072;Darwin Gabriel Núñez Ribeiro;23;Uruguay;187;176;ST;82;89;61,5;Right;3;3;1;High; High;Lean (185+);England;Liverpool;84
251566;Gabriel Teodoro Martinelli Silva;21;Brazil;178;165;LW;81;88;52,5;Right;3;4;1;High; High;Lean (170-185);England;Arsenal;81
251517;Joško Gvardiol;20;Croatia;185;176;CB;82;89;56;Left;4;3;1;High; High;Normal (185+);Croatia;Croatia;80
